time length,number comments,length assign
372.0,0,0
144.0,0,0
495.0,0,0
622.0,0,0
1367.0,0,0
13579455.0,0,0
316.0,0,0
1556.0,0,0
838.0,0,0
5438.0,0,0
45718467.0,0,0
18032528.0,0,0
112.0,0,0
377.0,0,0
2271.0,0,0
213.0,0,0
68792535.0,0,0
1302130.0,0,0
77375486.0,0,0
279704.0,0,0
37045.0,0,0
1295918.0,0,0
2441.0,0,0
1679.0,0,0
706.0,0,0
1924206.0,0,0
4920.0,0,0
504.0,0,0
5016.0,0,0
686.0,0,0
29466.0,0,0
104.0,0,0
1514.0,0,0
253143.0,0,0
56.0,0,0
89164.0,0,0
2328808.0,0,0
220.0,0,0
1194.0,0,0
26563.0,0,0
124.0,0,0
158.0,0,0
138.0,0,0
591.0,0,0
88.0,0,0
1821.0,0,0
221.0,0,0
4807.0,0,0
179.0,0,0
1781.0,0,0
40107.0,0,1
622.0,0,0
100.0,0,0
13130405.0,1,0
19871054.0,1,0
19910889.0,1,0
25402021.0,1,0
1577.0,1,0
15361.0,1,0
7786.0,1,0
16605717.0,1,0
49078015.0,1,0
49926937.0,1,0
85415.0,1,0
9144992.0,1,0
74695859.0,1,0
279624.0,1,0
88276419.0,1,0
944250.0,1,0
464705.0,1,0
58475.0,1,0
86150.0,1,0
90289.0,1,0
58950.0,1,0
640.0,1,0
51248017.0,1,0
13219344.0,1,0
20573.0,1,0
2185327.0,1,0
146.0,1,0
7518.0,1,0
73.0,1,0
380072.0,1,0
117905.0,1,0
663.0,1,0
152.0,1,0
566770.0,1,0
779571.0,2,0
25502013.0,2,0
1072593.0,2,0
31680276.0,2,0
9642161.0,2,0
37726396.0,2,0
37730947.0,2,0
15353308.0,2,0
19184773.0,2,0
21430.0,2,0
5631456.0,2,0
70446214.0,2,0
45433101.0,2,0
136622.0,2,0
12193374.0,2,0
479835.0,2,0
134451.0,2,0
2644.0,2,0
176705.0,2,0
67367.0,2,0
51012.0,2,0
1781.0,2,0
2978.0,2,0
1448261.0,3,0
83.0,3,0
23902.0,3,0
128549437.0,3,0
1604.0,3,0
270.0,3,0
77364.0,3,0
7386323.0,4,0
19280085.0,4,0
101611.0,4,0
183863.0,4,0
28721.0,4,0
6269772.0,4,0
331.0,4,0
76204.0,4,0
207541.0,4,0
798781.0,4,0
3559.0,5,0
562766.0,5,0
21748858.0,5,0
81470259.0,5,0
76404419.0,5,0
21706083.0,5,0
1143353.0,5,0
36834.0,5,0
14058.0,6,0
44407228.0,6,0
32959.0,6,0
54455.0,6,0
26866.0,6,0
4754.0,6,0
16399524.0,7,0
573630.0,7,0
124852.0,7,0
543766.0,7,0
1330606.0,7,0
216952.0,8,0
95645.0,8,0
610643.0,8,0
37795002.0,9,0
4778.0,9,0
1302.0,9,1
1423112.0,9,0
32884890.0,10,0
72663074.0,13,0
332019.0,14,0
